date,symbol,price,1d %,1w %,1m %,1q %,1y,volume,mcap,,Outstanding shares,,Mcap
27th Jun,NESTLEIND,22696.25,0.289,-1.19,6.04,15.18,104.75,5559,218196.48,,96137679.13,," 2,18,196 "
27th Jun,MARUTI,9470.9,0.007,-1.38,2.94,14.22,26.86,40218,286075.86,,302057734.7,," 2,86,076 "
27th Jun,ULTRACEMCO,8217.9,0.622,-1.38,7.36,7.82,105.91,23065,235773.02,,286901787.6,," 2,35,773 "
27th Jun,BAJFINANCE,7012,0.19,-2.65,3.41,24.84,165.09,70583,423721.76,,604280889.9,," 4,23,722 "
27th Jun,APOLLOHOSP,5085.9,0.972,-2.2,11.77,17.98,304.19,61230,72423.61,,142400774.7,," 72,424 "
27th Jun,DRREDDY,5021.75,-0.394,2.17,12.58,8.63,91.93,46232,83956.69,,167186120.4,," 83,957 "
27th Jun,BRITANNIA,5010.45,0.025,-0.679,10.81,15.93,60.83,17784,120655.75,,240808210.8,," 1,20,656 "
27th Jun,BAJAJ-AUTO,4640.9,0.738,-0.023,3.17,19.46,70.61,42313,130355.63,,280884375.9,," 1,30,356 "
27th Jun,EICHERMOT,3566.85,0.428,0.79,-0.965,20.96,54.02,30774,97131.08,,272316133.3,," 97,131 "
27th Jun,DIVISLAB,3551.7,0.491,-0.779,4.9,25.8,139.55,38172,93825.89,,264171776.9,," 93,826 "
27th Jun,ASIANPAINT,3335.6,0.83,0.565,6.89,20.78,142.93,167527,317317.02,,951304173.2,," 3,17,317 "
27th Jun,TCS,3206.95,0.542,1.01,-2.73,0.033,69.41,74203,1167109.32,,3639312493,," 11,67,109 "
27th Jun,TITAN,2945.85,-0.9,-0.286,9.78,17.14,216.42,74948,263903.31,,895847751.9,," 2,63,903 "
27th Jun,HEROMOTOCO,2830.1,-0.742,-0.069,4.41,20.57,-8.83,24718,56979.3,,201333168.4,," 56,979 "
27th Jun,HDFC,2727.1,0.25,2.89,0.785,3.87,38.55,249265,496935.76,,1822213194,," 4,96,936 "
27th Jun,HINDUNILVR,2651.1,-0.038,-2.38,0.868,3.54,45.69,87651,623135.1,,2350477538,," 6,23,135 "
27th Jun,RELIANCE,2509.15,0.545,-2.65,2.22,7.64,123.78,403471,1688487.64,,6729321244,," 16,88,488 "
27th Jun,LT,2389.5,0.503,0.959,8.73,10.41,66.22,94103,334132.35,,1398335844,," 3,34,132 "
27th Jun,ADANIENT,2326,1.32,-7.32,-11.68,32.88,1344.72,555682,261698.66,,1125101720,," 2,61,699 "
27th Jun,KOTAKBANK,1828.85,0.324,-1.54,-4.82,5.54,45.55,99666,362139.33,,1980147798,," 3,62,139 "
27th Jun,GRASIM,1731.8,0.29,-2.75,1.99,6.07,109.76,20632,113698.06,,656531123.7,," 1,13,698 "
27th Jun,HDFCBANK,1640.95,0.33,2.38,0.229,1.95,54.68,729557,912594.83,,5561381090,," 9,12,595 "
27th Jun,BAJAJFINSV,1510.65,0.206,0.136,5.11,19.28,133.23,58252,240124.89,,1589546818,," 2,40,125 "
27th Jun,M&M,1412,1.03,0.581,11.31,21.86,75.65,383882,173801.81,,1230891006,," 1,73,802 "
27th Jun,INDUSINDBK,1307,-0.612,-0.533,3.71,22.38,-18.28,161770,102034.1,,780674062.7,," 1,02,034 "
27th Jun,INFY,1281.25,0.858,-0.805,-1.45,-10.27,94.44,327699,527012.33,,4113266966,," 5,27,012 "
27th Jun,SBILIFE,1268.75,0.19,-0.983,8.85,15.23,112.22,46654,126748.31,,999001458.1,," 1,26,748 "
27th Jun,HCLTECH,1163.55,-0.338,1.34,5.08,7.21,141.31,99603,316820.4,,2722877401,," 3,16,820 "
27th Jun,TECHM,1110.9,-0.09,3.13,1.87,0.821,53.62,70925,108274.48,,974655504.5,," 1,08,274 "
27th Jun,CIPLA,1011.3,-1.04,0.522,8.7,12.3,94.67,158332,82482.72,,815610798,," 82,483 "
27th Jun,SUNPHARMA,994.7,-0.025,0.272,6.77,1.18,131.06,212629,238721.83,,2399937971,," 2,38,722 "
27th Jun,AXISBANK,965.7,0.536,-1.61,5.41,12.49,55.78,504007,295547.02,,3060443409,," 2,95,547 "
27th Jun,ICICIBANK,928.25,0.086,-0.637,-2.64,5.81,157.74,736124,647084.12,,6971011258,," 6,47,084 "
27th Jun,TATACONSUM,863.9,0.157,0.133,12.19,21.87,293.76,136962,80131.9,,927559902.8,," 80,132 "
27th Jun,BHARTIARTL,858,0.71,2.41,7.26,14.55,174.56,576829,508394.54,,5925344289,," 5,08,395 "
27th Jun,JSWSTEEL,755.9,0.948,-2.6,7.36,9.85,146.42,226847,181001.47,,2394516074,," 1,81,001 "
27th Jun,ADANIPORTS,729.65,0.725,-2.37,-0.599,15.47,88.2,483846,156480.47,,2144596313,," 1,56,480 "
27th Jun,UPL,676.55,-0.39,-2.07,-0.602,-5.73,33.84,82364,50981.27,,753547705.3,," 50,981 "
27th Jun,HDFCLIFE,650,3.13,6.64,15.51,30.21,67.89,1702329,135465.69,,2084087538,," 1,35,466 "
27th Jun,TATAMOTORS,571.85,0.704,0.36,8.2,35.9,231.12,953822,188599.47,,3298058407,," 1,88,599 "
27th Jun,SBIN,559.55,0.449,-2.05,-3.79,6.84,89.1,763992,497145.51,,8884737914,," 4,97,146 "
27th Jun,ITC,443.9,-0.404,-2.03,3.44,15.75,57.61,565743,553916.75,,12478412931,," 5,53,917 "
27th Jun,HINDALCO,418.6,0.94,-1.96,2.02,3.27,85.06,457321,93191.16,,2226258003,," 93,191 "
27th Jun,WIPRO,382.3,0.367,0.262,-3.86,4.67,54.07,226824,209034.79,,5467820821,," 2,09,035 "
27th Jun,BPCL,359.3,0.279,-4.64,-1.99,4.36,-0.951,245998,77724.33,,2163215419,," 77,724 "
27th Jun,POWERGRID,248.5,0,0.832,6.15,10.1,66.38,436748,173340,,6975452716,," 1,73,340 "
27th Jun,COALINDIA,224.8,0.223,-1.64,-6.06,5.22,-6.63,932509,138230,,6149021352,," 1,38,230 "
27th Jun,NTPC,185.7,0.433,-1.33,6.63,6.05,49.5,431542,179291.36,,9654892838,," 1,79,291 "
27th Jun,ONGC,158.3,0.892,0.828,-4.06,4.8,5.6,591436,197384.58,,12469019583,," 1,97,385 "
27th Jun,TATASTEEL,111.3,1.32,-2.58,5.4,6.51,113.59,3069637,134274.63,,12064207547,," 1,34,275 "
